ě pé 	il a pris
Po'o lə́ mfɑmfɑ́, a guŋ ywə yə ǎ nyənyɔ a, guŋ ywə msəm, ywə yə a dəŋdəŋ á, ywə tə́ mvíŋ, ywə yə pɑ mo kuŋ yɑ a, ywə mku', ywə mà pɑpuŋ ywə bi a pɑ́ pu gho'tə a, guŋ ywə bɔ awɛ pɑ nə́ gənyə́nwə̀ mɔ.	Au reste, frères, toutes les choses qui sont vraies, toutes les choses qui sont vénérables, toutes les choses qui sont justes, toutes les choses qui sont pures, toutes les choses qui sont aimables, toutes les choses qui sont de bonne renommée,s’il y a quelque vertu et quelque louange,que ces choses occupent vos pensées
Ywə yə po lə́ zhi'tə bəm á, ywə yə po lə́ kwǐ bəm á, ywə yə po lə́ yǔ' bəm á, ywə yə po lə́ yɔ̌ nə́ m̀ á, po ghiŋ nə́ guŋ ywə bɔ awɛ po'o gɑ Si hwitə́ pɑ bi po. Polo gho'tə̀ nə ywə yə pu hɑ bi e a	ce que vous avez et appris, et reçu, et entendu, et vu en moi, — faites ces choses, et le Dieu de paix sera avec vous.
Myə kɑ́ ŋwɛ̌nyə te' shyə́ m̀ nə́ Cyəpɔ nə pa' po biŋ sɛ nwə nə m̀ a; əŋ gɑ̌ zhyə́ gɑ po lə́ ji ŋkhamtə a, da' gɑ́ la' po pɑ́ jɔ sɔ̀.	Or je me suis grandement réjoui dans le Seigneur de ce que maintenant enfin vous avez fait revivre votre pensée pour moi, quoique vous y ayez bien aussi pensé, mais l’occasion vous manquait ;
Tə́ nə yak ywə nə gə tə́ gɔmnwə pɑ̀, nə pa' a bɑ gɑ̌ zhi'tə nə vɔk nə́ bǎ yá nthi cwə dzʉ̌ lə́.	non que je parle ayant égard à des privations, car, moi, j’ai appris à être content en moi-même dans les circonstances où je me trouve.
Gɑ̌ zhyə nə vɔk nə pə̌ŋ, ba nə vɔk nthʉm fʉ'. Gɑ̌ bɑ gɑ̌ zhi'tə nə zhwyə ba nə cwə jikǔ' bǎ nə yá nthi lə́, bà nə yá cwə̀ lə̀, nə vɔk nthʉ́m fʉ' ba m̀ nthʉ̌m pə́ŋ.	Je sais être abaissé, je sais aussi être dans l’abondance ; en toutes choses et à tous égards, je suis enseigné* aussi bien à être rassasié qu’à avoir faim, aussi bien à être dans l’abondance qu’à être dans les privations.
Pɑ́ gə guŋ ywə awɛ shyə m̀ nə Mo yə e hɑ gʉ' bəm a.	Je puis toutes choses en celui qui me fortifie.
Yeso lə́ ke pɑkhʉ́ pyə shwɔppʉ́ə mghǎm hɑ tʉ̀ɔ bi pú nə́ nə jə́ŋ mzhwenyə cwəpuŋ, biŋ jɛ guŋ mgho awɛ ba mŋkho'tə.	Et ayant appelé ses douze disciples, il leur donna autorité sur les esprits immondes pour les chasser, et pour guérir toute maladie et toute langueur.
Mtsǒ mghɛ nthəm bɔ shwɔppʉə mgham bɑ́ gɑ: Dəŋdzə: Simon yə pú ŋkhe e gɑ Pɛtrɔ a, ba Andreya fɑ e. Yakop mú Zebede ba Yohane fɑ e;	Or ce sont ici les noms des douze apôtres: le premier, Simon appelé Pierre, et André son frère; Jacques le [fils] de Zébédée, et Jean son frère;
Filipo ba Bartelemi; Tomasi ba Matio gɛ kwishwɔp. Yakop mu Alfeo ba Tadeo.	Philippe et Barthélemy; Thomas et Matthieu le publicain; Jacques le [fils] d’Alphée, et Lebbée surnommé Thaddée;
Simon mú e guŋ ba Yuda Iskariɔt yə e hɑ Yeso bi mghɛ bo pyə a.	Simon le Cananéen, et Judas l’Iscariote, qui aussi le livra.
Yeso lə nə təm pɔ shwɔppʉə mghǎm gɔm bi pu gɑ: Po kɑ́ ghɔ nə mguŋ myə pɑ tə pɑ́ pɑ Yudea nə a, po kɑ́ nəŋ ŋkho nə tisuŋ pɑ Samaria.	Jésus envoya ces douze et leur donna des ordres, disant: Ne vous en allez pas sur le chemin des nations, et n’entrez dans aucune ville de Samaritains;
Po ghɔ m bəŋ jʉ̀jʉ̀ pyə wap lə la' bi nə tuŋdyə Israɛl a.	mais allez plutôt vers les brebis perdues de la maison d’Israël.
Po ghiŋ məjyə bɑ shyanyə gɑ́ Nəfo kɛbəŋ ghɔptə.	Et quand vous irez, prêchez, disant: Le royaume des cieux s’est approché
Po yɛ́ mghɛ ghɔ́, jám mpfə pɔ, dɔnyə mghɛ ka'pap, jəŋ mzhwenyə cwəpuŋ. Po kɑ kwǐ pɑ něné, po hɑ pɑ́ něné.	Guérissez les infirmes ; [ressuscitez les morts]; rendez nets les lépreux; chassez les démons : vous avez reçu gratuitement, donnez gratuitement.
Po kɑ́ lɑ gɔl, kɑ ŋkhap, kɑ bʉ̌m nthʉm pètə yɔ lə.	Ne faites provision ni d’or, ni d’argent, ni de cuivre dans vos ceintures,
Kɑ pʉə ghiŋ lə́, kɑ dzə ŋkwakwa tsɑ pʉə́ lə́, kɑ mthap, kɑ pəŋ lə́, nə pá' bǎ yá gɛfa' lə́ byap mcwɔ'fa' myə́ a.	ni d’un sac pour le chemin, ni de deux tuniques, ni de sandales, ni d’un bâton, car l’ouvrier est digne de sa nourriture.
Po kò bǎ nə ya tisuŋ lə́, kɑ bǎ nə tsa la' lə, po cəŋ tə jɔ mo yə bi a pɑ́ e nyəŋ wɔ dyə a, shwə pɑ́ ywə e tə ŋkhəm cwə nə ghɔ.	Et dans quelque ville ou village que vous entriez, informez-vous qui y est digne ; et demeurez là jusqu’à ce que vous partiez.
Po nə́ kǒ nə dyə̌ sha'tə é.	Et quand vous entrerez dans une maison, saluez-la.
Bi a pɑ gɑ́ dyə bɔ ŋkhu'nyə, bɑ hwitə yɔ gɔ wuŋ nə e bi a e ka nə́ŋ ŋkhu'nyə a, bɑ hwitə yɔ gɔ pɑnyə nə́ po.	Et si la maison [en] est digne, que votre paix vienne sur elle; mais si elle n’[en] est pas digne, que votre paix retourne à vous.
Pú ko bɑ tə lɑ wɔ, biŋ bɑ́ tə yu' ghɔm tsɔ, po nə təm dyə̌, kɑ nə tisuŋ bɔ lə, dzɔp vɔp nə mkwə mɔ.	Et si quelqu’un ne vous reçoit pas et n’écoute pas vos paroles, quand vous partirez de cette maison ou de cette ville, secouez la poussière de vos pieds.
Gɑ siŋ wɔ kwa' nyənyɔ gɑ́ a gɔ la' pɑ́ nə tyɛ' fyɛ', go' Sodɔm pu Gomora lə pɑ ywə nə yə tisuŋ bɔ.	En vérité, je vous dis: le sort du pays de Sodome et de Gomorrhe sera plus supportable au jour de jugement que celui de cette ville-là.
Po yɔ́, gɑ́ nthəm wɔ pa' mjʉ́jʉ́ a cəcɑ́ mbvʉ̌ gǒ. Po ghə fʉ́ pa' mnɔk a, biŋ dɛtə́ pa' msəŋgɔpfo a.	Voici, moi je vous envoie comme des brebis au milieu des loups; soyez donc prudents comme les serpents, et simples comme les colombes;
Po pɔ́mtə́ pɔmnəŋ! Wap gɔ pɑ́ hɑ wɔ dyə fyɛ̀', pɑ́ lɑ mshɔm cwɔ wɔ dyə sinagogə	et soyez en garde contre les hommes, car ils vous livreront aux sanhédrins et vous fouetteront dans leurs synagogues;
pu gɔ sɔ' pɑ lɑ wɔ́ ghɔ dzə mgɔpna' pu a mfomfò nə tsǒ tsɑ̌. A gɔ sɔ' pɑ bi pu ba m bi pɑ tə pɑ́ pɑ Yudea pɑ́ mtiŋ nə ŋkwinthɛ̌.	et vous serez menés même devant les gouverneurs et les rois, à cause de moi, en témoignage à eux et aux nations.
Pú sɔ' bɑ dɑ wɔ gɔ po'o, lam tsɔ kɑ sɔ nə ywə yə po gɔ ko ghɔm a ba pa' po gɔ nə ghɔm a. Po gɔ sɔ' kwi ywə yə pɔ gɔ ghɔm a pɑ́ cwə o bɔ.	Et quand ils vous livreront, ne soyez pas en souci comment vous parlerez, ni de ce que vous direz ; car il vous sera donné dans cette heure-là ce que vous direz;
Nə pa' tə́ wɔ nə gɔ sɔ' pɑ ghɔm ǎ pɑ́, Zhwenyə Tá yɔ nə gɔ sɔ' pɑ ghɔm nə po.	car ce n’est pas vous qui parlez, mais c’est l’Esprit de votre Père qui parle en vous.
Et le frère livrera son frère à la mort, et le père son enfant; et les enfants s’élèveront contre leurs parents et les feront mourir ;	Fɑ́ gɔ sɔ' hɑ fɑ́ nə vʉ̌. A tá hɑ mú nə vʉ̌; pǒ gɔ sɔ' fɛ́jʉ́m pɑ tsə́ wap ghə pú zhwə wap.
Guŋ pɔ awɛ gɔ sɔ' pɔ wɔ nə tso tsɑ̌; tə mo yə e tɔm tə́ nə miŋ a gɔ sɔ' vɔk.	et vous serez haïs de tous à cause de mon nom ; et celui qui persévérera* jusqu’à la fin, celui-là sera sauvé.
Cwə yə pu gɔ sɔ' zhəŋ wɔ nə mu' tisuŋ a, po ŋkhʉ́ gɔ nə yə mu'. Gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ pǒ gɔ sɔ' nə kǎ nə mtisuŋ Israɛl tə miŋ bɑ Mú mo sɔ'.	Mais quand on vous persécutera dans cette ville, fuyez dans l’autre ; car, en vérité, je vous dis : Vous n’aurez point achevé de parcourir les villes d’Israël, que le fils de l’homme ne soit venu.
Mukhʉ̌ tə bɑ m dzə tap e pɑ́; ba gɛfa' lə pɑ m dzə ta fa'.	Le disciple n’est pas au-dessus du maître, ni l’esclave au-dessus de son seigneur.
Tə bi a múkhʉ̌ pɑ̌ pa' tap e, gɛfa' pɑ́ pa' ta fa' e. Pu ké gɛ dyə gɑ́ Beɛlzəbul bɑ mtsǒ pó gɔ piŋ pɔk tə cyə.Mo yə́ pɑ́ pu pwɔk e a.	Il suffit au disciple qu’il soit comme son maître, et à l’esclave qu’il soit comme son seigneur: s’ils ont appelé le maître de la maison Béelzébul, combien plus les gens de sa maison?
Ká po pwɔk! Sɔmywə yə pu hwyətə́ tə la' pu ghɔ sɔ' ghyɛ' a tə wə pɑ, sɔmywə yə pu tʉm tə́ la' pu ghɔ sɔ' zhyə a lə pɑ́wə.	Ne les craignez donc pas ; car il n’y a rien de couvert qui ne sera révélé, ni rien de secret qui ne sera connu.
Ywə yə gɑ̌ siŋ wɔ cwə jʉ́m a, po ghɔm yá dɔdzʉ̌. Ywə yə po ju' bhə tə̌ŋ po a, po ghɔm ya do dyə̌.	Ce que je vous dis dans les ténèbres, dites-le dans la lumière ; et ce qui vous est dit à l’oreille, prêchez-le sur les toits.
Ka po pwɔk pɔ pyə bi a pɑ́ wap zhwə nɑ mo, tə bi a pɑ wap lə zhwə lam tsu a; po pwɔk pɑ́ mo yə bi a pɑ e zhwə lam tsɔ mo ba nɑ e nthʉm mɔk tə mi a.	Et ne craignez pas ceux qui tuent le corps et qui ne peuvent pas tuer l’âme ; mais craignez plutôt celui qui peut détruire et l’âme et le corps, dans la géhenne.
Pu tə́ fiŋ mcici pɑpʉə nə bɛ́ ywə á lə? A nəŋ bɑ po'o, bi a pɑ́ bǎ yɑ́mu' lə vʉ́ si nə pu tə a ba gɑ Ta yɔ piŋ.	Ne vend-on pas deux passereaux pour un sou? Et pas un seul d’entre eux ne tombe en terre, sans votre Père.
Sɔ' m nə po, a bɑ pú sɛ mnəŋ thə mɔ awɛ.	Et pour vous, les cheveux même de votre tête sont tous comptés.
Ka po pwɔk, a bɑ po cyə guŋ mcici awɛ.	Ne craignez donc pas: vous valez mieux que beaucoup de passereaux.
Mo yə e piŋ a dzə pɔmnəŋ á bɑ gɑ̌ gɔ sɔ' piŋ e dzə Ta a thə kɛbəŋ.	Quiconque donc me confessera devant les hommes, moi aussi je le confesserai devant mon Père qui est dans les cieux;
Da' gɑ́ mo yə e kəŋnyə a dzə pɔmnəŋ a, bɑ gɑ̌ gɔ sɔ' kəŋnyə e dzə Tá a thə kɛbəŋ.	mais quiconque me reniera devant les hommes, moi aussi je le renierai devant mon Père qui est dans les cieux.
Ka po kwɛ gɑ́ gɑ sɔ' nə hɑ hwitə dəmcǎ', ŋ tə́ sɔ' m nə hɑ hwitə pɑ, gɑ̌ sɔ' m nə hɑ nyə.	Ne pensez pas que je sois venu mettre la paix sur la terre ; je ne suis pas venu mettre la paix, mais l’épée:
Əŋ, gɑ̌ sɔ' hapnyə mo pu tap e, hap mú mjwǐ pu map e, hap jwi mu nə má dhə́.	car je suis venu jeter la division entre un homme et son père, entre la fille et sa mère, entre la belle-fille et sa belle-mère.
Mghɛ bò gɔ sɔ' pɑ́ pɑ̀ pǒ dyə.	et les ennemis d’un homme seront les gens de sa maison.
Mo yə́ e ŋkhuŋ tap e kɑ map e tə shyə a bɑ e ka ku'nyə nə m̀. Mo yə́ e ŋkhuŋ mú e yə mbɛ kɑ yə mjwǐ lə tə shyə a, bɑ e ka ku'nyə nə m̀.	Celui qui aime père ou mère plus que moi, n’est pas digne de moi ; et celui qui aime fils ou fille plus que moi, n’est pas digne de moi;
Mo yə e lɑ gɔm ghɔm Si pa' gɔm ghɔm Si a gɔ sɔ' ŋkwi mcwɔ'fa' bi gɔm ghɔm Si. Mo yə e nəŋ dɑ mo dəŋdəŋ pa' mo dəŋdəŋ a sɔ' ŋkwi mcwɔ'fa' mo dəŋdəŋ.	Celui qui reçoit un prophète en qualité de prophète, recevra la récompense d’un prophète; et celui qui reçoit un juste en qualité de juste, recevra la récompense d’un juste.
Mo yə e hɑ bǎ nthu' shyə nə nwə bi mu' mú nə pǒ pɔ́ gɑ m nə pa' e mukhʉ ǎ, bɑ gɑ siŋ wɔ kwa' nyənyɔ gɑ́ e tə gɔ sɔ' pi myə́ mcwɔ'fa' pɑ̀.	Et quiconque aura donné à boire seulement une coupe d’eau froide à l’un de ces petits, en qualité de disciple, en vérité, je vous dis, il ne perdra point sa récompense.
Yeso lə́ miŋ nə siŋ pɑkhʉ̌ pyə shwɔppʉə́ mghǎm pa' wap gɔ nə fa' a, du gɔ ji'tə pɔ nthʉm mtisuŋ map, bɑ́ siŋ wap Cuŋ pɑpuŋ.	Et il arriva, quand Jésus eut achevé de donner ses ordres à ses douze disciples, qu’il partit de là pour enseigner et prêcher dans leurs villes.
A lə pɑ́ po'o Yohane tiŋnyə dyəcɛ̌ ju' mfa' Kristo, nthəm pɑkhʉ̌ pyə gɑ wap ghɔ́ həŋtə́ e gɑ:	Et Jean, ayant ouï parler dans la prison des œuvres du Christ, envoya par ses disciples, 3 et lui dit: Es-tu celui qui vient, ou devons-nous en attendre un autre?
O bɑ́ mo yə e bɑ́wə gɔ sɔ' a, kɑ pyə gɔ piŋ pyap mu' mo?	et lui dit: Es-tu celui qui vient, ou devons-nous en attendre un autre?
Yeso pa' bi pu gɑ: Po ghɔ siŋ Yohane ywə yə po ju' a, ba yə po jɔ a:	Et Jésus, répondant, leur dit: Allez, et rapportez à Jean les choses que vous entendez et que vous voyez:
Mo yə e ka kwa yə bɛnyəpɛnyə nə jap jʉ̌m m̀ a ba e ka ku'nyə nə m̀.	et celui qui ne prend pas sa croix et ne vient pas après moi, n’est pas digne de moi.
Mo yə e lwɔ' vɔk e a gɔ sɔ' pi, tɑ́ mo yə e pi vɔk e nə m̀ a gɔ sɔ' vɔk.	Celui qui aura trouvé sa vie, la perdra; et celui qui aura perdu sa vie pour l’amour de moi, la trouvera.
Mo yə e lɑ wɔ dyə a dɑ pa' pɑ myə̀. Mo yə e nəŋ dɑ a, bɑ e dɑ pa' mo yə e nthəm a.	Celui qui vous reçoit, me reçoit; et celui qui me reçoit, reçoit celui qui m’a envoyé.
Mfʉ̀ wə jɔ tsʉ', mkho'tə pɑwə gǐŋ dəŋdəŋ, mghɛ ka'pap pɑ́wə dɔ, mbu'mtəŋ piŋ bɑwə ju', mpfə́ pɔ pɑ́wə jam nə vʉ̌, pu piŋ bɑwə siŋ Cuŋ pɑpuŋ bi mpə̌ŋ.	les aveugles recouvrent la vue et les boiteux marchent ; les lépreux sont rendus nets et les sourds entendent, et les morts sont ressuscités, et l’évangile est annoncé aux pauvres.
Buŋtsě bɑ mo yə ŋ tə gɔ pɑ ywə fa'tə yə e gɔ cyə m nə vʉsi a pə.	Et bienheureux est quiconque n’aura pas été scandalisé en moi.
Cwə yə pɑkhʉ̌ Yohane lə ghɔ a, Yeso ghɔmnwə bi pɔmnəŋ nə é gɔm gɑ: Pó lə gɔ m ghakgo le kɑ? Shʉɔ ka' yə fəfa wə ŋʉ'nyə a lə?	Et comme ils s’en allaient, Jésus se mit à dire de Jean aux foules : Qu’êtes-vous allés voir au désert ? Un roseau agité par le vent ?
Po lə gɔ m nə yɔ kɑ? Mo bɑ́ e kwa dzə mkwìŋ lə? Pɑ kwa dzə mkwìŋ shwə́ m dyə̌ mfo.	Mais qu’êtes-vous allés voir ? Un homme vêtu de vêtements précieux ? Voici, ceux qui portent des choses précieuses sont dans les maisons des rois.
Tə po lə̀ gɔ m nə yɔ kɑ? Gɔm ghɔm Si lə? Əŋ gɑ siŋ wɔ gɑ e cyə gɔm ghɔm Si.	Mais qu’êtes-vous allés voir ? Un prophète ? Oui, vous dis-je, et plus qu’un prophète;
A bɑ́ mo yə a bɑ pú və nə e gɑ: Po yɔ, gɑ̌ təm shwiŋkhʉɔ a dzə o; e gɔ nyaptə məjyə o dzə̌ o.	car c’est ici celui dont il est écrit : «Voici, moi j’envoie mon messager devant ta face, lequel préparera ton chemin devant toi»
Gɑ siŋ wɔ kwa' nyənyɔ gɑ̌, cəcɑ̌ pɔ pyə mjwǐ dzə a, sɔmmo ka təm nə tɑ shyə́ Yohane nu' pɔ shyə; da' gɑ́ mukəcɔk mò nthʉm Nəfo kɛbəŋ bɑ e cyə e.	En vérité, je vous dis : parmi ceux qui sont nés de femme, il n’en a été suscité aucun de plus grand que Jean le baptiseur ; mais le moindre dans le royaume des cieux est plus grand que lui.
Tɑ́ fɑ nə cwə Yohane nu' pɔ shyə gɔ ŋkhəm tyɛ' ɔ, Nəfo kɛbəŋ bɑ a cʉ' nwə gʉ', mghɛ gʉ' nə́ pɑwə dɑ́.	Mais, depuis les jours de Jean le baptiseur jusqu’à maintenant, le royaume des cieux est pris par violence, et les violents le ravissent.
Nə pa' guŋ mghɔm ghɔm Si ba mco' lə ghɔ̌m tə ŋkhəm nə Yohane.	Car tous les prophètes et la loi ont prophétisé jusqu’à Jean.
Po pɑ gɔ yu' kwa' pɑpúŋ, po zhyə́ gɑ Yohane nə bɑ̀ Elia yə e gɔ piŋ sɔ' a.	Et si vous voulez recevoir [ce que je vous dis], celui-ci est Élie qui doit venir.
Mo yə e ghə mtəŋ a, e yu'!	Qui a des oreilles pour entendre, qu’il entende.
Gɑ gɔ fo' pɔ nə́ yəŋ wɔ̌ dzʉ́ nə kɑ? Bi a pɑ́ pú fo' pɔ nə́ yəŋ wɔ̌ dzʉ́ nə pɑkhʉ̌ bɑ wap cwə tətɔ bɑwə gɔm cəcɑ̌ pu gɑ:	Mais à qui comparerai-je cette génération ? Elle est semblable à de petits enfants assis dans les marchés, et criant à leurs compagnons, et disant:
Pyə tuŋ duŋ bi po, po lə nəŋ! Ŋkwa vʉ́, po lə tsɔp kəkɔp yɔ!.	Nous vous avons joué de la flûte, et vous n’avez pas dansé ; nous vous avons chanté des complaintes, et vous ne vous êtes pas lamentés.
Nə pa' Yohane kě sɔ̌', e lə pɑ dzʉ́ ywə, e lə nəŋ nwə́ ywə, pu ghɔm gɑ zhwenyə cwəpuŋ nə e.	Car Jean est venu ne mangeant ni ne buvant, et ils disent : Il a un démon.
Mú mo sɔ', bɑ́ dzʉ́ ywə, biŋ bɑ́ nwə ywə pu ghɔm gɑ: E bɑ dzʉ́ ywə, bɑ nwə mlù', so pɑ kwishwɔp pu a mghɛ mhɔ̀. Da' gɑ́ mfa' myə́ le gə pú zhyə zhyənwə yə a fɑ bi Si a.	Le fils de l’homme est venu mangeant et buvant, et ils disent : Voici un mangeur et un buveur, un ami des publicains et des pécheurs. Et la sagesse a été justifiée par ses enfants. 
A lə pɑ po' Yeso to' nə́ ghɔmtə mtisuŋ myə e lə́ té msya nə a, nə pa' wap lě tə pʉɔ tʉm tsap a gɑ:	Alors il commença à adresser des reproches aux villes dans lesquelles le plus grand nombre de ses miracles avaient été faits, parce qu’elles ne s’étaient pas repenties: 
Ghəghʉɔ o Korazin! Ghəghʉɔ o Betsaida! Nə pa' msya myə pu lə ghə cəcɑ̌ po a, lə pe' bɑ́ m Tiro pu Sidon, bɑ wap lě da' shi' və́ ŋkwá mpʉə, bʉɔ tʉm tsap.	Malheur à toi, Chorazin ! malheur à toi, Bethsaïda ! car si les miracles qui ont été faits au milieu de vous eussent été faits dans Tyr et dans Sidon, il y a longtemps qu’elles se seraient repenties sous le sac et la cendre.
Əŋ gɑ siŋ wɔ kwa' nyənyɔ gɑ́ tyɛ'dzʉ nə fyɛ', go' Tiro pu Sidon lə pɑ ywə nə yɔ.	Mais je vous dis que le sort de Tyr et de Sidon sera plus supportable au jour de jugement que le vôtre.
Sɔ' m nə o m Kapɛrnaum, o kwɔ' tə ŋkho pɑ kɛbəŋ, bɑ o gɔ sɔ' fi' tə ko guŋ a vʉ̌. Nə pa' msya myə pu lə ghə ywə o a lə pé'e bɑ́ m Sodɔm, bɑ Sodɔm jɑ pɑwə tyɛ' ɔ.	Et toi, Capernaüm, qui as été élevée jusqu’au ciel, tu seras abaissée jusque dans le hadès* ; car si les miracles qui ont été faits au milieu de toi eussent été faits dans Sodome, elle serait demeurée jusqu’à aujourd’hui.
A po' tə bɑwə siŋ o gɑ tyɛ' fyɛ', go' Sodɔm lə pɑ́ ywə nə go' o. Po sɔ' bəŋ m̀, jɔ hwitə	Mais je vous dis que le sort du pays de Sodome sera plus supportable au jour de jugement que le tien.
A lə pɑ cwə o bɔ, Yeso lɑ ghɔm gɔm gɑ: Gɑ sé o m Ta, Cyəpɔ kɛbəŋ pu cǎ', nə pa'ǒ tʉm ywə bɔ bi mzhyə́ fʉ́ pu a mzhyənwə, da' gɑ biŋ da'tə bi pǒ mkəcɔk pó.	En ce temps-là, Jésus répondit et dit: Je te loue, ô Père, Seigneur du ciel et de la terre, parce que tu as caché ces choses aux sages et aux intelligents, et que tu les as révélées aux petits enfants.
Əŋ m Ta, o gə po'o pa' o yɔ a.	Oui, Père, car c’est ce que tu as trouvé bon devant toi.
Tá bɑ e hɑ guŋ ywə awɛ bəm. Sɔmmo ka zhyə́ Mú tə ně da' Tá, sɔmmo lə piŋ nə́ŋ jyə́ Tá tə́ ně da' Mú, biŋ gə mo yə Mú ghə gɑ́ e zhyə́ e a.	Toutes choses m’ont été livrées par mon Père ; et personne ne connaît le Fils, si ce n’est le Père ; ni personne ne connaît le Père, si ce n’est le Fils, et celui à qui le Fils voudra le révéler.
Po sɔ' bəm guŋ yɔ awɛ pyə ŋkhəm bɑ́wə dzá wɔ a, hɑ hwitə bi po.	Venez à moi, vous tous qui vous fatiguez et qui êtes chargés, et moi, je vous donnerai du repos.
Po kwa kəlo' á nə po, sɔ ji'tə nwə a, nə pa' gɑ bɑ gɑ ghə tʉm byányə́ ba nə fi'nɑ hɑ Si, po gɔ ghə hwitə nə tʉm tsɔ.	Prenez mon joug sur vous, et apprenez de moi, car je suis débonnaire* et humble de cœur ; et vous trouverez le repos de vos âmes.
Əŋ, kəlo' a bɑ a yɛ̀ nə kwa, ŋkhəm a piŋ jɛ́ gɑ fǎ.	Car mon joug est aisé et mon fardeau est léger.
A lə pɑ cwə o bɔ, Yeso pɑ shyə́ nə mu' pé msɛtʉ̀ɔ tyɛ' Sabat. Jikǔ' yɛ pɑkhʉ̌ pyə́. Wap to' nə pɑ bo' mcɛ́ msɛ́tʉ̀ɔ bɑ pfɑ.	En ce temps-là, Jésus allait par les blés, un jour de sabbat* ; et ses disciples avaient faim, et se mirent à arracher des épis et à manger.
Pɑ Farisai lə nə yɔ po'o, gɔm bi Yeso gɑ: Yɔ, pɑkhʉ̌ wə́ gə ywə yə a bɑ̀ pu ka piŋ gɑ́ pu ghə tyɛ' Sabat a.	Et les pharisiens voyant [cela], lui dirent : Voilà, tes disciples font ce qu’il n’est pas permis de faire en un jour de sabbat.
E pa' bi pu gɑ: Po la m ŋkhe ywə yə David lə́ ghə cwə yə jiku'u lə yɛ́ e pu a mso ghiŋ pyə a?	Mais il leur dit : N’avez-vous pas lu ce que fit David, quand il eut faim, et ceux qui étaient avec lui;
Pa' e lə kǒ Dyə Si, pu a mso pyə, pfɑ msɛ̌ nə nuŋpwɔ' myə a lə́ bɑ pu ka piŋ gɑ sɔmmo nə pú pfɑ, kɑ yʉ́, kɑ mso pyə lə, tə ne da' mkamsi a?	comment il entra dans la maison de Dieu et mangea les pains de proposition, qu’il ne lui était pas permis de manger ni à ceux qui étaient avec lui, mais aux sacrificateurs seuls?
Kɑ pó la m ŋkhe nə mcò' gɑ́ a bɑ́ tyɛ' Sabat Dyə Si, mkamsi pɔptə mcò' la' a pɑ bɑ wap hɔ nwə̀ a?	Ou n’avez-vous pas lu dans la loi, que, le jour de sabbat, les sacrificateurs dans le temple profanent le sabbat et ne sont pas coupables?
Tə gɑ siŋ wɔ gɑ ywə tsɔ'ɔ bɑ ǎ ghu' shyə Dyə Si.	Mais je vous dis qu’il y a ici quelque chose de plus grand que le temple.
Po la' pe' ju' ywə yə ghɔm tsyə a gɔm gɑ: Gɑ̌ shəŋ cɔmmtsò, ŋ tə́ shəŋ tsə pwɔ' a gɔm a, bɑ po ka nyəŋ shɛ thə pɔ pɔ̀ gɑ pyə wap ka hɔnwə a.	Et si vous aviez connu ce que c’est que : «Je veux miséricorde et non pas sacrifice» , vous n’auriez pas condamné ceux qui ne sont pas coupables.
Nə pa' Mú mò bɑ́ ta Sabat.	Car le fils de l’homme est seigneur du sabbat.
Yeso lə lǔ tsʉ'u gɔ ŋkho sinagogə pú.	Et étant parti de là, jesus vint dans leur synagogue.
Mu' mo lə bɑ dyə bɔ bɑ pu é cwyəm Pɑ Farisai həŋtə Yeso nə dəŋtə e gɑ: A bɑ pú piŋ gɑ pú yɛ́ gho tyɛ' Sabat a?	Et voici, il y avait là un homme qui avait la main sèche. Et ils l’interrogèrent, disant : Est-il permis de guérir, le jour de sabbat ? — afin de l’accuser.
Da' gɑ́ Yeso ghɔm bi pú gɑ: Wɑ nə po bi a pɑ́ e ghə mú jʉ̀jʉ̀ e yɑmu', e vʉ̀ ghʉm tyɛ' Sabat, bɑ é tə́ gɔ kwa é, té é ghʉm a?	Mais il leur dit : Quel sera l’homme d’entre vous, qui aura une* brebis, et qui, si elle vient à tomber dans une fosse un jour de sabbat, ne la prendra et ne la relèvera pas ?
Tə mcʉ̌m sʉ' nə mo yə a bɑ e cyə jʉ̀jʉ̀ a! A bɑ́ pú piŋ gɑ́ pú ghə nwə pɑpuŋ tyɛ' Sabat.	Combien donc un homme vaut-il mieux qu’une brebis ! De sorte qu’il est permis de faire du bien le jour de sabbat.
E lə piŋ gɔm bi bɛ bɔ gɑ: Siŋ pu ǒ. Bɛ bɔ lə siŋ pù e, a cwə pɑpuŋ pa' yə mu' ghəŋ a.	Alors il dit à l’homme : Étends ta main. Et il l’étendit, et elle fut rendue saine comme l’autre.
Pɑ Farisai lə təm cwəlɔ, shu'tə shɔm pa' wap gɔ ghə tə́ zhwə Yeso a.	Et les pharisiens, étant sortis, tinrent conseil contre lui pour le faire périr;
Yeso lə nə yu' po'o, dú tsʉ'u, vəŋ du pɔ yap jʉ̀m e, e pɑ́ jɛ̀ wap awɛ.	mais Jésus, le sachant, se retira de là ; et de grandes foules le suivirent, et il les guérit tous. 
Bɑ gɔm bi pu gɑ́ ka wap ghə pu zhyə e,	Et il leur défendit expressément de rendre son nom public,
po'o gɑ ywə yə gɔm ghɔm Si Esaya lə ghɔm a pəmtə́ gɑ:	afin que fût accompli ce qui a été dit par Ésaïe le prophète, disant
