Sen_fre ,Sen_gho
"Quelques-uns, il est vrai, prêchent le Christ aussi par envie et par un esprit de dispute, mais quelques-uns aussi de bonne volonté ;","A ny?ny? g?? sh? p? g? po'o m n? ghi'ny? pu a tw?'ny?, da' g?? py?? sh?? p?? sì? Kristo p?? kwa' n? mkw?ny? p?pú?."
"ceux-ci par amour, sachant que je suis établi pour la défense de l’évangile ;",P? b?? fa' po'o m nth?m ?khù?ny??. Wap b? wap zhy?? g?? g?? b?? ts?'? g?? b?w? do' g? Cù? p?pù? gh? dz??.
"ceux-là annoncent le Christ par esprit de parti, non pas purement, croyant susciter de la tribulation pour mes liens.",Py? sh?? p? b?w? d? p?? zhweny? tw?'ny? t?? n? si? Kristo. Yap yw? y? a h?? gu' bi pu a t?? p?pu? p??; wap b?w?? ?kw?? g?? wap g? gh? c?? a c??t?? dz?? a.
"Quoi donc ? — Toutefois, de toute manière, soit comme prétexte, soit en vérité, Christ est annoncé ; et en cela je me réjouis et aussi je me réjouirai.",Da' g?? a t?? sh? p??? Nw?? w? b?? g?? k?? n? mkw?ny? cw?pù? k? my? p?pu? l? pú si? Kristo bi p?mn??. A yw? y? g?? ?w?ny? n? n?? g? dz?? a.
"Car je sais que ceci me tournera à salut par vos supplications et par les secours* de l’Esprit de Jésus Christ,","N? pa' g?? zhy? g?? yw? b? g? s?' mi? n? yw? v?k á, shy? m n? mcwy?'ny? m? ba m? n? zhweny? Yeso Kristo."
"selon ma vive* attente et mon espérance que je ne serai confus en rien, mais qu’avec toute hardiesse, maintenant encore comme toujours, Christ sera magnifié dans mon corps, soit par la vie, soit par la mort.","Kwa' pa' g?? w? n? byap ba n?? y? m?kt? a, so? t?? g? s?' kú a p??, n? pa' g?? w? sh??t?? jy? n? pa' cw?l? n? a g? ny??? d?? n? Kristo cy? m n? v?k a k? n? v?? ts?? l??."
"Car pour moi, vivre c’est Christ ; et mourir, un gain ;","N? pa' s?' m n?? m?, v?k b? Kristo v?? n??? b? b?m b? y? pè."
"mais si [je dois] vivre dans la chair, il en vaut bien la peine ; et ce que je dois choisir, je n’en sais rien ;","Da' g?? a p?? g?? n? v?k d?mca?' po'o g? gh? g?? fa' gh?? dz??, b? ? kha zhy? y? gh??? y? g? g? cw?' a"
"mais je suis pressé des deux côtés, ayant le désir de déloger* et d’être avec Christ, [car] cela est de beaucoup meilleur ;","G? si cw?l? mnw? m?b?? p?w? f??ny? a: g? b?w? s?m n? gh? g? py? Kristo p? b?mt? b?, a p? kwa' y? g?? w? d??dz? sh?? a,"
mais il est plus nécessaire à cause de vous que je demeure dans la chair.,da' g? shy? m n? th?? y? dz?? p? g? shw? p? d?mca?'.
"Et ayant cette confiance, je sais que je demeurerai et que je resterai avec vous tous pour l’avancement et la joie de votre foi,","A po'o t? b?w? jy? g?? ? t? g? wu? gh? p??, g?? g? g? p? cw? p? b?? po, gu? y? aw? po'o g? po kakt?? n? pi?nth?m, ba n? ?w?ny?? nth??m pi?nth?m."
"afin qu’en moi vous ayez plus abondamment sujet de vous glorifier dans le christ Jésus, par mon retour au milieu de vous.","Po'o g? a cy? m n? m? cw? y? g?? p?ny? b??? po a, y? n? ghu't? Yeso Kristo gh? dz??."
"et n’étant en rien épouvantés par les adversaires : ce qui pour eux est une démonstration de perdition, mais de votre salut, et cela de la part de Dieu :","po l? pi? g? mgh? bo h? w? n? s?myw?, a p?? bi pu b? mti? g? wap g? simny?, bi? b? bi po b? mti? yw? v?k y??: a f? m bi Si"
"parce qu’à vous, il a été gratuitement donné, par rapport à* Christ, non seulement de croire en lui, mais aussi de souffrir pour lui,","n? pa' a b? Si gh? gho' n? po shy? m n? Kristo t? da' g? po? pi? é p?, ba m g?? po y?go' n? e."
ayant [à soutenir] le même combat que vous avez vu en moi et que vous apprenez être maintenant en moi.,B? do' p? nthi shù y? po j?? ? b?w? do'; b? po? n?? jy? g?? g? ? g? t? kwi' lo' a.
"Si donc il y a quelque consolation en Christ, si quelque soulagement d’amour, si quelque communion de l’Esprit, si quelque tendresse et quelques compassions,","A p?? g? Kristo ny?? g?' n? p?, b? g? ?khu?ny? h? kakt?? bi po, b? g? zhweny? tamt? w?, b? g? po gh? c??mmtso c?c?? po,"
"[Que] rien [ne se fasse] par esprit de parti, ou par vaine gloire ; mais que, dans l’humilité, l’un estime l’autre supérieur à lui-même,",ka po l? tw?'ny? n? g? s?myw? k? ?a?'n? l?; da' g?? po cy?? m n? n? fi'n? h? si b? j? py? sh? p? pa' p? py? wap m? dz?? po a.
"chacun ne regardant pas à ce qui est à lui, mais chacun aussi à ce qui est aux autres.","Ka mo p? j? p? da' y?? nw?, e p? j? ba y?? py?sh? p?."
"Qu’il y ait donc en vous cette pensée qui a été aussi dans le christ Jésus,",Po p? bv?k po'o c?c?? po pa' pú bv?k n? Yeso Kristo a:
"lequel, étant en forme de Dieu*, n’a pas regardé comme un objet à ravir** d’être égal à Dieu,","Y?? y? e b?? pa' Si a, la' e y? g? a m? nw? t?' n? p?? d?? pa' Si a."
"mais s’est anéanti lui-même, prenant la forme d’esclave, étant fait* à la ressemblance des hommes ;",E le? nthé gu? e b? aw? n? e d? v?k e pa' ?kw? a
"et, étant trouvé en figure comme un homme, il s’est abaissé lui-même, étant devenu obéissant jusqu’à la mort, et à la mort de la croix.","E le? fi'n?? e h? si, ju'ny? yu'ny? t? ?kho n? v??,v?? b?ny?p?ny?."
"C’est pourquoi aussi Dieu l’a haut élevé et lui a donné un nom* au-dessus de tout nom,",A yw? y? a l? gh? Si ?a' e h? t? th?? bi? h? tso tsy? a? cy? gu? mtso aw? a bi e.
"afin qu’au nom de Jésus se ploie tout genou des êtres célestes, et terrestres, et infernaux,","Po'o g? n? tso? Yeso, gu? mkwi't? aw? p? ?w?' th? k?b??, d?mca?', ba m? nth??m ca'."
"et que toute langue confesse que Jésus Christ est Seigneur, à la gloire de Dieu le Père.",A ba gu? mgh?m aw? p? bi? g?? Yeso Kristo b? Cy?p? n? n? gu't? Si Tá.
"car c’est Dieu qui opère en vous et le vouloir et le faire*, selon son bon plaisir.",N? pa' Si n? g? t? n?? c??? ba n? gh? p?? n? po pa' e n? jap a.
"Faites toutes choses sans murmures et sans raisonnements,","Po gh? gu? yw? aw? t? vàmt??, t?? f??ny?."
"présentant la parole de vie, pour ma gloire au jour de Christ, [en témoignage] que je n’ai pas couru en vain ni travaillé en vain.","w? py? po? ?kwa Gh?m v?k a: a b? ghu't? a n? ty?'dz? Kristo, n? pa' a t? b? g?? kh?d?? p? ne?né p??, ? d? n?? j?go' p? p?p?."
"Mais si même je sers d’aspersion sur le sacrifice et le service de votre foi, j’en suis joyeux et je m’en réjouis avec vous tous.","Bi a mcy?? m?? p? g? pfy?? p? si pa' ts? pw?' a ba m? n?? fa' pi?nth?m y?, b? a? pu? a, ? bi? b?w? ?w?ny?, ba gu? y?k p? aw?."
"Pareillement, vous aussi, soyez-en joyeux et réjouissez-vous-en avec moi.",Ba w? y? po ?w?ny? p? p?mt? ?w?ny?. Fa' Timotio pu Epafrodito
"Or j’espère dans le seigneur Jésus vous envoyer bientôt Timothée, afin que moi aussi j’aie bon courage quand j’aurai connu l’état de vos affaires ;","G?? w? m?kt?? shy?? m? n? Cy?p? Yeso g?? g?? g? t?m Timotio bi po, po'o g?? mcu? my?? g? g? yu' n? po a na' ?kwi' g?' n? m?."
car je n’ai personne qui soit animé d’un même sentiment [avec moi] pour avoir une sincère sollicitude à l’égard de ce qui vous concerne ;,"? kha pi? g? s?mmo y? e w? gi? n? mkw?ny? m?? a, s?mmo y? e? w? sh??t? s?lam n? yw? y? a? w? dé a a."
"parce que tous cherchent leurs propres intérêts, non pas ceux de Jésus Christ.","Gu? py? sh? p? aw? w? s?lam p?? n? yap nw??, wap t?? w? s?lam n? y?? Yeso Kristo p??."
"Mais vous savez qu’il a été connu à l’épreuve, [savoir] qu’il a servi* avec moi dans l’évangile comme un enfant [sert] son père.","Da' g? s?' m? n? y?? Timotio b? po? ts? zhy? d?? mfa' my??: d??d?? pa' mú b?? tap e a, e tamt? n? m? n? fa' n? Cù? p?pú?."
"J’espère donc l’envoyer incessamment, quand j’aurai vu la tournure que prendront mes affaires.",A y?? t?? g? w? s? n? t?m e bi po n? cw? y? g? g? zhy? kwa' pa' pu g? gh? n? m? a.
"Mais j’ai confiance dans le Seigneur que, moi-même aussi, j’irai [vous voir] bientôt ;","Ba kwa' my? w?? sh??t? jy??, shy?? m? n?? Cy?p? g?? kwa' my? g?? w? g? s?' wu? s?' w? po."
"mais j’ai estimé nécessaire de vous envoyer Épaphrodite mon frère, mon compagnon d’œuvre et mon compagnon d’armes, mais votre envoyé et ministre* pour mes besoins.","Da' g?? y? g?? a? pu? g?? nth?m f?? a Epafrodito bi po, y?? y? e b? só fa' a bi? b? so shù a, y?? y? po l? t?m e b?m g? e p?? ?kwit? a n? cw? y? a l? b?w? sh?? po' a."
"Car il pensait à vous tous avec une vive affection, et il était fort abattu parce que vous aviez entendu dire qu’il était malade ;","N? pa' n? pì? j? w? l? b?w? nth?? e te', n? pa' a l? pakny? e n? zhy? g? po? zhy? g? e? gho."
"en effet il a été malade, fort près de la mort, mais Dieu a eu pitié de lui, et non seulement de lui, mais aussi de moi, afin que je n’eusse pas tristesse sur tristesse.","A n? p?? po'o b? e l? gho? t?? bv?k v??, da' g? Si c?mmtso my?, t? da' my?? p??, ba m??, po' g?? ? kh?? t??m n? go'o, ?kho n? go'o."
"Je l’ai donc envoyé avec d’autant plus d’empressement, afin qu’en le revoyant vous ayez de la joie, et que moi j’aie moins de tristesse.","G?? do'ny? n? cya e bi po po'o g?? po ?w?ny?? n? y? e, ba my? pi? na' jweny? y? n? go' a."
"Recevez-le donc dans le Seigneur avec toute sorte de joie, et honorez de tels hommes ;","Po cy?? m? n? Cy?p? d? kwa' ?w?ny? d? e, bi? ?khú? nthi p? pa' y? a"
"car, pour l’œuvre, il a été proche de la mort, ayant exposé sa vie, afin de compléter ce qui manquait à votre service envers moi.","n? pa' a b? é le? b?? g? pf?? n? fa' Kristo; e l?? yap v?k e n? ts?' y? p? yw? gh? e a, po' t? n? g? yw? y? a l? b? kwa' w? ka ku' n? gh? b?m a."
"Au reste, mes frères, réjouissez-vous dans le Seigneur : vous écrire les mêmes choses n’est pas pénible pour moi, et c’est votre sûreté.","Po'o l? mf?? p?, po ?w?ny? n? Cy?p?. A ka ts?? b?m n? kwi' bv? yw? y? g?? zhì bv? a bi po, a pi? b? bi po b? n? n? kwy?t?? w?."
"Prenez garde aux chiens*, prenez garde aux mauvais ouvriers, prenez garde à la concision** ;",Po p?m mbv??! Po p?m mgh? fa' cw?pù?! Po p?mt? p? py? wap f?t? g? pu vo wap a!
"car nous sommes la circoncision, nous qui rendons culte par l’Esprit de Dieu, et qui nous glorifions dans le christ Jésus, et qui n’avons pas confiance en la chair:","N? pa' p? py? pu vó wap a b? w?k p?? py? p?? sé Si m n? Zhweny? Si a, w?k p? py?? y?k p? ghu't? b? p?? yap m n? Yeso Kristo, w?k p? py? p? t? jap t?m ts?k p? p?? n? p? a p??."
"bien que moi, j’aie [de quoi avoir] confiance même dans la chair. Si quelque autre s’imagine [pouvoir] se confier en la chair, moi davantage :",Da' g?? ba t? po'o a b? ? kha h? n? yap t?m ts?? n? m?. A p?? g? p?? mo kw? g? bi a e yap t?m tsy? n? th? n? e b? mo b? b? a.
"[moi] circoncis le huitième jour, de la race d’Israël, de la tribu de Benjamin, Hébreu des Hébreux ; quant à la loi, pharisien ;","N? pa' g?? b? pu le? bvo a n? bat? ty?'dz?? h??m, g?? b?? gwya p? Isra?l, b?? n? ?kh?ny? B?nyam?n, b?? y? Ebraika mú e Ebraika; bi? s?' m n? mco' b? kwa' Farisai;"
"quant au zèle, persécutant l’assemblée ; quant à la justice qui est par [la] loi, étant sans reproche.",S?' m n? n? s??ny? n? n?? pi? b? ? d? l? Cu't? p? Kristo j?go'; g? m n? n?? ghi? n? mco' ? b? mo t? bya n?? mco'.
"Mais les choses qui pour moi étaient un gain, je les ai regardées, à cause du Christ, comme une perte.","Da' g?? gu? ts? b? aw? tsy?? a l?? b? b?m b? kwa m? f?' a, a le? shy? m? n? Kristo, ? j? tsá pa' pi a."
"Et je regarde même aussi toutes choses comme étant une perte, à cause de l’excellence de la connaissance du christ Jésus, mon Seigneur, à cause duquel j’ai fait la perte de toutes et je les estime comme des ordures, afin que je gagne Christ,","A kwa' po'o, g?? j? g?? gu? e aw? b? pi b?? m? f?' y? a b? n? n?? zhy? Yeso Kristo Cy?p? a?. A le? shy? m n? ? bi gu? yw? aw?, bi? b? j? gu? e aw? pa' nets?? á t? n? kwi Kristo pa' fa' a."
"et que je sois trouvé en lui, n’ayant pas ma justice qui est de [la] loi, mais celle qui est par [la] foi en Christ, la justice qui est de Dieu, moyennant la foi ;","Po'o g? y? n? p? d??d?? n? e a k? p?? p?? y? d??d?? y? a b? y? mco' a, g??, a p?? y? a f? n? pi?nth?m n? Kristo a, d??d?? y? a f?? bi Si, b? jo'ny? n? pi?nth?m a."
"pour le connaître, lui, et la puissance de sa résurrection, et la communion de ses souffrances, étant rendu conforme à sa mort,","A b? n? n?? zhy? é, y? ba t?? n? yám n?? v??, ba n? tamt? nth??m go' e, n? hw? pa' y? a nth?m v? e,"
si en quelque manière que ce soit je puis parvenir à la résurrection d’entre les morts.,"po'o t? bi a p? mo? la' ?kh?m n? n?? yam n? v??, b? y? mo? ku' n? a."
"Non que j’aie déjà reçu [le prix] ou que je sois déjà parvenu à la perfection ; mais je poursuis, cherchant à le saisir, vu aussi que j’ai été saisi par le Christ.","A t?? b? g?? g?? ts? gh? ts? b? aw? p??, k? m? g? g?? ts? l? p??; da' g?? g?? b?w?? nthe g?' g? ? g? nth?m e, n? pa' a b? y? Yeso Kristo le? nth?m a."
"Frères, pour moi, je ne pense pas moi-même l’avoir saisi ;","Mf??mf??, a t?? b? g?? g? ts? t?m e p??; y? n? zhwí? b? g?? d??ny? dh?? jy?? y? g? ts?? ghi? n? a, b? dé p?? dz??,"
"mais [je fais] une* chose : oubliant les choses qui sont derrière et tendant avec effort vers celles qui sont devant, je cours droit au but pour le prix de l’appel céleste** de Dieu dans le christ Jésus.",g?? ?khakt?? n? gh? dz?? n? kwi mcw?'fa' my? a b? n? n?? ke mo k?b?? y? Si n? ?khe w?k p? shy?? m? n? Yeso Kristo a.
"Nous tous donc qui sommes parfaits*, ayons ce sentiment ; et si en quelque chose vous avez un autre sentiment, cela aussi Dieu vous le révélera ;","Gu? y?k p? aw?, w?k p? p? d?l??, p? v?k pa' p? d?l?? a; t?? bi a po p?? t? p?? ?kwishw? n? mu' nw?, b? Si g? ky??' w? n? nw? b?."
"cependant, dans les choses auxquelles nous sommes parvenus, marchons dans le même [sentier].","Da' g?? p? n? pyap, a kwa' ts?' y? p? gi? t? ?kh?m n? a p? gi? dé p? n? ta' m?jy??."
"Soyez tous ensemble mes imitateurs, frères, et portez vos regards sur ceux qui marchent ainsi suivant le modèle que vous avez en nous.","Gu? y? aw? mf?mf??, po fo' a, po p? nth?? mny? m? p? n? p? py?? wap gi? p?? n? fo' y? po? j? bi py? a."
"Car plusieurs marchent, dont je vous ai dit souvent et dont maintenant je le dis même en pleurant, qu’ils sont ennemis de la croix du Christ,","? d? b? si?? w? bi? ?kwi' b?w? d?? shy?ts? si? w?, bo'gwy? p? gi? p?? pa' mgh? bo b?ny?p?ny? Kristo a."
"dont la fin est la perdition, dont le dieu est le ventre et dont la gloire est dans leur honte, qui ont leurs pensées aux choses terrestres.",Wap g? s?' mi? m n? pi; si yap b? vam tsap; ba yap ghu't? p? kuso yap; n? pa' wap s? yap nw? a p?? p?? nw? d?mca?' a.
"Car notre bourgeoisie* est dans les cieux, d’où aussi nous attendons le Seigneur Jésus Christ [comme] Sauveur,","Da' g? gu? y??k p? b? m k?b??, ts?' y? p? byap Cy?p? Yeso Kristo g?v?k p? n? a"
"qui transformera le corps de notre abaissement en la conformité du corps de sa gloire, selon l’opération de ce pouvoir qu’il a de s’assujettir même toutes choses.","E g? s?' kwy?pny? n?? ts?k p? tsy? a b? yw? n? j?go' a, n? gh? pa' n? e y? a b? n? ghu't??, po'o cy? m n? g??' y? a b? bi e b? g? e ku' n? gh? g? gú? yw? aw? yu'ny? e a."
"Je supplie Évodie, et je supplie Syntyche, d’avoir une même pensée dans le Seigneur.","G?? w? s?so Evodia, b?w? s?so Suntuke g? wap v?k p? kwa' n? Cy?p?."
"Oui, je te prie, toi aussi, vrai compagnon de travail, aide celles qui ont combattu avec moi dans l’évangile avec Clément aussi et mes autres compagnons d’œuvre, dont les noms sont dans le livre de vie.","Ba w? So ghi? a y? ny?ny?, g? w? h??t? bu, s?' ?kwit?? wap, n? pa' py? a pú l? p??mt? nthu?kwà n?? Cu? p?pú?, ba Klem?nt, pu a gu? py? sh? mso fa' aw? py? mtso map nth??m ?wa'ny? v?k a."
"Réjouissez-vous toujours dans le Seigneur ; encore une fois, je vous le dirai : réjouissez-vous.","Po p? ?w?ny? n? Cy?p? gu? mcw? aw?; g? w? ?kwi' g?m bi po, po p? ?w?ny?."
Que votre douceur* soit connue de tous les hommes ;,Po gh? g?? gu? p? aw? zhy? t?m p?pú? ts??. Cy?p? b? è gh?pt? n? po.
"le Seigneur est proche ; ne vous inquiétez de rien, mais, en toutes choses, exposez vos requêtes à Dieu* par des prières et des supplications avec des actions de grâces ;","Ka lam ts? s?? n? s?myw?, da' g?, n? gu? ms?? aw?, po p? d? mcwy?'ny?? pu a n? pu'bu?, ba mfa' gho't? g? Si zhy?? yw? y? po? w? do bi a."
"et la paix de Dieu, laquelle surpasse toute intelligence, gardera vos cœurs et vos pensées dans le christ Jésus.",A pi? b? po' hwit?? Si y? a b? a? cy? gù? zhy??nw? aw? a p? dw?' mt?m m? ba mkw?ny?? m? n? Yeso Kristo.
"ce que vous avez et appris, et reçu, et entendu, et vu en moi, — faites ces choses, et le Dieu de paix sera avec vous.","Yw? y? po l?? zhi't? b?m á, yw? y? po l?? kwi? b?m á, yw? y? po l?? yu?' b?m á, yw? y? po l?? y?? n?? m? á, po ghi? n?? gu? yw? b? aw? po'o g? Si hwit?? p? bi po. Polo gho't?? n? yw? y? pu h? bi e a"
"Or je me suis grandement réjoui dans le Seigneur de ce que maintenant enfin vous avez fait revivre votre pensée pour moi, quoique vous y ayez bien aussi pensé, mais l’occasion vous manquait ;","My? k?? ?w??ny? te' shy?? m? n?? Cy?p? n? pa' po bi? s? nw? n? m? a; ?? g?? zhy?? g? po l?? ji ?khamt? a, da' g?? la' po p?? j? s??."
"non que je parle ayant égard à des privations, car, moi, j’ai appris à être content en moi-même dans les circonstances où je me trouve.","T?? n? yak yw? n? g? t?? g?mnw? p??, n? pa' a b? g?? zhi't? n? v?k n?? ba? yá nthi cw? dz?? l??."
"Je sais être abaissé, je sais aussi être dans l’abondance ; en toutes choses et à tous égards, je suis enseigné* aussi bien à être rassasié qu’à avoir faim, aussi bien à être dans l’abondance qu’à être dans les privations.","G?? zhy? n? v?k n? p???, ba n? v?k nth?m f?'. G?? b? g?? zhi't? n? zhwy? ba n? cw? jiku?' ba? n? yá nthi l??, bà n? yá cw?? l??, n? v?k nth??m f?' ba m? nth??m p???."
Je puis toutes choses en celui qui me fortifie.,P?? g? gu? yw? aw? shy? m? n? Mo y? e h? g?' b?m a.
"Et ayant appelé ses douze disciples, il leur donna autorité sur les esprits immondes pour les chasser, et pour guérir toute maladie et toute langueur.","Yeso l?? ke p?kh?? py? shw?pp??? mgha?m h? t??? bi pú n?? n? j??? mzhweny? cw?pu?, bi? j? gu? mgho aw? ba m?kho't?."
"Or ce sont ici les noms des douze apôtres: le premier, Simon appelé Pierre, et André son frère; Jacques le [fils] de Zébédée, et Jean son frère;","Mtso? mgh? nth?m b? shw?pp?? mgham b?? g?: D??dz?: Simon y? pú ?khe e g? P?tr? a, ba Andreya f? e. Yakop mú Zebede ba Yohane f? e;"
"Philippe et Barthélemy; Thomas et Matthieu le publicain; Jacques le [fils] d’Alphée, et Lebbée surnommé Thaddée;",Filipo ba Bartelemi; Tomasi ba Matio g? kwishw?p. Yakop mu Alfeo ba Tadeo.
"Simon le Cananéen, et Judas l’Iscariote, qui aussi le livra.",Simon mú e gu? ba Yuda Iskari?t y? e h? Yeso bi mgh? bo py? a.
"Jésus envoya ces douze et leur donna des ordres, disant: Ne vous en allez pas sur le chemin des nations, et n’entrez dans aucune ville de Samaritains;","Yeso l? n? t?m p? shw?pp?? mgha?m g?m bi pu g?: Po k?? gh? n? mgu? my? p? t? p?? p? Yudea n? a, po k?? n?? ?kho n? tisu? p? Samaria."
mais allez plutôt vers les brebis perdues de la maison d’Israël.,Po gh? m b?? j??j?? py? wap l? la' bi n? tu?dy? Isra?l a.
"Et quand vous irez, prêchez, disant: Le royaume des cieux s’est approché",Po ghi? m?jy? b? shyany? g?? N?fo k?b?? gh?pt?.
"Guérissez les infirmes ; [ressuscitez les morts]; rendez nets les lépreux; chassez les démons : vous avez reçu gratuitement, donnez gratuitement.","Po y?? mgh? gh??, jám mpf? p?, d?ny? mgh? ka'pap, j?? mzhweny? cw?pu?. Po k? kwi? p? ne?né, po h? p?? ne?né."
"Ne faites provision ni d’or, ni d’argent, ni de cuivre dans vos ceintures,","Po k?? l? g?l, k? ?khap, k? b??m nth?m pèt? y? l?."
"ni d’un sac pour le chemin, ni de deux tuniques, ni de sandales, ni d’un bâton, car l’ouvrier est digne de sa nourriture.","K? p?? ghi? l??, k? dz? ?kwakwa ts? p??? l??, k? mthap, k? p?? l??, n? pá' ba? yá g?fa' l?? byap mcw?'fa' my?? a."
"Et dans quelque ville ou village que vous entriez, informez-vous qui y est digne ; et demeurez là jusqu’à ce que vous partiez.","Po kò ba? n? ya tisu? l??, k? ba? n? tsa la' l?, po c?? t? j? mo y? bi a p?? e ny?? w? dy? a, shw? p?? yw? e t? ?kh?m cw? n? gh?."
"Et quand vous entrerez dans une maison, saluez-la.",Po n?? ko? n? dy?? sha't? é.
"Et si la maison [en] est digne, que votre paix vienne sur elle; mais si elle n’[en] est pas digne, que votre paix retourne à vous.","Bi a p? g?? dy? b? ?khu'ny?, b? hwit? y? g? wu? n? e bi a e ka n??? ?khu'ny? a, b? hwit? y? g? p?ny? n?? po."
"Et si quelqu’un ne vous reçoit pas et n’écoute pas vos paroles, quand vous partirez de cette maison ou de cette ville, secouez la poussière de vos pieds.","Pú ko b? t? l? w?, bi? b?? t? yu' gh?m ts?, po n? t?m dy??, k? n? tisu? b? l?, dz?p v?p n? mkw? m?."
"En vérité, je vous dis: le sort du pays de Sodome et de Gomorrhe sera plus supportable au jour de jugement que celui de cette ville-là.","G? si? w? kwa' ny?ny? g?? a g? la' p?? n? ty?' fy?', go' Sod?m pu Gomora l? p? yw? n? y? tisu? b?."
"Voici, moi je vous envoie comme des brebis au milieu des loups; soyez donc prudents comme les serpents, et simples comme les colombes;","Po y??, g?? nth?m w? pa' mj??j?? a c?c?? mbv?? go?. Po gh? f?? pa' mn?k a, bi? d?t?? pa' ms??g?pfo a."
"et soyez en garde contre les hommes, car ils vous livreront aux sanhédrins et vous fouetteront dans leurs synagogues;","Po p??mt?? p?mn??! Wap g? p?? h? w? dy? fy??', p?? l? msh?m cw? w? dy? sinagog?"
"et vous serez menés même devant les gouverneurs et les rois, à cause de moi, en témoignage à eux et aux nations.",pu g? s?' p? l? w?? gh? dz? mg?pna' pu a mfomfò n? tso? ts??. A g? s?' p? bi pu ba m bi p? t? p?? p? Yudea p?? mti? n? ?kwinth??.
"Et quand ils vous livreront, ne soyez pas en souci comment vous parlerez, ni de ce que vous direz ; car il vous sera donné dans cette heure-là ce que vous direz;","Pú s?' b? d? w? g? po'o, lam ts? k? s? n? yw? y? po g? ko gh?m a ba pa' po g? n? gh?m a. Po g? s?' kwi yw? y? p? g? gh?m a p?? cw? o b?."
"car ce n’est pas vous qui parlez, mais c’est l’Esprit de votre Père qui parle en vous.","N? pa' t?? w? n? g? s?' p? gh?m a? p??, Zhweny? Tá y? n? g? s?' p? gh?m n? po."
F?? g? s?' h? f?? n? v??. A tá h? mú n? v??; po? g? s?' f??j??m p? ts?? wap gh? pú zhw? wap.,"Et le frère livrera son frère à la mort, et le père son enfant; et les enfants s’élèveront contre leurs parents et les feront mourir ;"
"et vous serez haïs de tous à cause de mon nom ; et celui qui persévérera* jusqu’à la fin, celui-là sera sauvé.",Gu? p? aw? g? s?' p? w? n? tso ts??; t? mo y? e t?m t?? n? mi? a g? s?' v?k.
"Mais quand on vous persécutera dans cette ville, fuyez dans l’autre ; car, en vérité, je vous dis : Vous n’aurez point achevé de parcourir les villes d’Israël, que le fils de l’homme ne soit venu.","Cw? y? pu g? s?' zh?? w? n? mu' tisu? a, po ?kh?? g? n? y? mu'. G?? si? w? kwa' ny?ny? g? po? g? s?' n? ka? n? mtisu? Isra?l t? mi? b? Mú mo s?'."
"Le disciple n’est pas au-dessus du maître, ni l’esclave au-dessus de son seigneur.",Mukh?? t? b? m dz? tap e p??; ba g?fa' l? p? m dz? ta fa'.
"Il suffit au disciple qu’il soit comme son maître, et à l’esclave qu’il soit comme son seigneur: s’ils ont appelé le maître de la maison Béelzébul, combien plus les gens de sa maison?","T? bi a múkh?? p?? pa' tap e, g?fa' p?? pa' ta fa' e. Pu ké g? dy? g?? Be?lz?bul b? mtso? pó g? pi? p?k t? cy?.Mo y?? p?? pu pw?k e a."
"Ne les craignez donc pas ; car il n’y a rien de couvert qui ne sera révélé, ni rien de secret qui ne sera connu.","Ká po pw?k! S?myw? y? pu hwy?t?? t? la' pu gh? s?' ghy?' a t? w? p?, s?myw? y? pu t?m t?? la' pu gh? s?' zhy? a l? p??w?."
"Ce que je vous dis dans les ténèbres, dites-le dans la lumière ; et ce qui vous est dit à l’oreille, prêchez-le sur les toits.","Yw? y? g?? si? w? cw? j??m a, po gh?m yá d?dz??. Yw? y? po ju' bh? t??? po a, po gh?m ya do dy??."
"Et ne craignez pas ceux qui tuent le corps et qui ne peuvent pas tuer l’âme ; mais craignez plutôt celui qui peut détruire et l’âme et le corps, dans la géhenne.","Ka po pw?k p? py? bi a p?? wap zhw? n? mo, t? bi a p? wap l? zhw? lam tsu a; po pw?k p?? mo y? bi a p? e zhw? lam ts? mo ba n? e nth?m m?k t? mi a."
"Ne vend-on pas deux passereaux pour un sou? Et pas un seul d’entre eux ne tombe en terre, sans votre Père.","Pu t?? fi? mcici p?p?? n? b?? yw? á l?? A n?? b? po'o, bi a p?? ba? y??mu' l? v?? si n? pu t? a ba g? Ta y? pi?."
"Et pour vous, les cheveux même de votre tête sont tous comptés.","S?' m n? po, a b? pú s? mn?? th? m? aw?."
Ne craignez donc pas: vous valez mieux que beaucoup de passereaux.,"Ka po pw?k, a b? po cy? gu? mcici aw?."
"Quiconque donc me confessera devant les hommes, moi aussi je le confesserai devant mon Père qui est dans les cieux;",Mo y? e pi? a dz? p?mn?? á b? g?? g? s?' pi? e dz? Ta a th? k?b??.
"mais quiconque me reniera devant les hommes, moi aussi je le renierai devant mon Père qui est dans les cieux.","Da' g?? mo y? e k??ny? a dz? p?mn?? a, b? g?? g? s?' k??ny? e dz? Tá a th? k?b??."
"Ne pensez pas que je sois venu mettre la paix sur la terre ; je ne suis pas venu mettre la paix, mais l’épée:","Ka po kw? g?? g? s?' n? h? hwit? d?mca?', ? t?? s?' m n? h? hwit? p?, g?? s?' m n? h? ny?."
"car je suis venu jeter la division entre un homme et son père, entre la fille et sa mère, entre la belle-fille et sa belle-mère.","??, g?? s?' hapny? mo pu tap e, hap mú mjwi? pu map e, hap jwi mu n? má dh??."
et les ennemis d’un homme seront les gens de sa maison.,Mgh? bò g? s?' p?? p?? po? dy?.
